Nome,Capacidade,Latitude,Longitude,Descrição
Aquário de São Paulo,1500,-2.359.318.036.261.680,-4.661.409.904.891.070,"Maior aquário da América do Sul, localizado no Parque Sítio do Rango, oferecendo uma variedade de animais marinhos."
Avenida Paulista,18000,-23.561.157.790.639.600,-4.665.649.430.473.420,"Importante centro financeiro e cultural, repleta de lojas, restaurantes e edifícios icônicos."
Museu Histórico da Imigração Japonesa no Brasil,1000,-23.560.839.286.894.200,-4.663.509.753.172.100,"Bairro conhecido pela cultura japonesa, com lojas, restaurantes e eventos temáticos."
Casa das Rosas,40,-2.357.085.697.148.180,-4.664.515.320.473.380,"Espaço cultural na Avenida Paulista, com programação variada, exposições e atividades literárias."
Catavento Cultural e Educacional,180,-23.544.299.586.407.200,-46.627.255.645.214.900,"Espaço educacional interativo com exposições científicas, localizado no Palácio das Indústrias, no Parque Dom Pedro II."
Catedral da Sé,8000,-2.355.106.380.522.900,-4.663.428.906.055.680,"Importante igreja localizada no centro histórico de São Paulo, com arquitetura imponente."
Estação Ciência,60,-2.352.110.690.555.120,-46.698.709.360.558.200,Centro de divulgação científica com exposições e experimentos interativos.
Estação da Luz,40000,-23.534.882.651.344.100,-46.635.277.118.228.500,"Importante ponto arquitetônico e cultural, abriga o Museu da Língua Portuguesa e o Museu de Arte Sacra."
Instituto Butantan,Informação Indisponível,-23.567.803.154.276.100,-4.671.877.680.265.550,"Centro de pesquisa biomédica e produção de vacinas, com um serpentário e exposições sobre biologia e saúde pública."
Instituto Tomie Ohtake,720,-23.561.230.356.739.600,-4.669.436.150.265.570,"Centro cultural dedicado às artes visuais e ao design, com exposições temporárias."
Jardim Botânico de São Paulo,Informação Indisponível,-2.363.913.796.461.540,-46.627.289.147.060.000,"Área verde com coleções botânicas, trilhas e um lago, oferecendo uma pausa tranquila na cidade."
Memorial da América Latina,40000,-23.527.212.339.880.600,-4.666.567.536.240.660,"Projeto arquitetônico de Oscar Niemeyer, com exposições culturais e eventos temáticos."
Mercado Municipal de São Paulo,Informação Indisponível,-23.541.468.538.359.000,-46.630.135.348.912.700,"Mercado histórico com uma ampla variedade de produtos, especiarias e restaurantes."
Museu Afro Brasil,150,-2.358.363.469.157.080,-4.665.920.813.356.890,"Espaço dedicado à cultura afro-brasileira, localizado no Parque do Ibirapuera."
Museu da Energia,20,-23.530.354.934.467.100,-46.643.428.477.748.700,"Aborda a história da energia no Brasil, com exposições interativas e educativas."
Museu da Imigração,60,-23.549.543.561.118.200,-4.661.289.560.265.580,"Resgata a história da imigração no Brasil, com ênfase nos imigrantes que chegaram a São Paulo."
Museu da Língua Portuguesa,45,-23.534.809.696.726.300,-466.351.533.758.998,"Museu dedicado à língua portuguesa, com exposições interativas e localizado na histórica Estação da Luz."
Museu de Anatomia Veterinária,Informação Indisponível,-23.569.238.836.528.900,-4.673.969.867.589.830,"Localizado na Faculdade de Medicina Veterinária e Zootecnia da USP, exibe coleções anatômicas."
Museu de Arte Contemporânea da USP (MAC USP),150,-23.588.793.932.015.100,-4.665.096.401.822.640,"Espaço cultural na Cidade Universitária, com uma coleção significativa de arte contemporânea brasileira."
Museu de Arte de São Paulo (MASP),344,-2.356.127.629.717.810,-4.665.586.044.706.300,"Renomado museu de arte localizado na Avenida Paulista, conhecido por sua arquitetura moderna e coleção impressionante."
