Nome,Capacidade,Latitude,Longitude,Descrição
Aquário de São Paulo,1500,-2359318036261680,-4661409904891070,"Maior aquário da América do Sul, localizado no Parque Sítio do Rango, oferecendo uma variedade de animais marinhos."
Avenida Paulista,18000,-23561157790639600,-4665649430473420,"Importante centro financeiro e cultural, repleta de lojas, restaurantes e edifícios icônicos."
Museu Histórico da Imigração Japonesa no Brasil,1000,-23560839286894200,-4663509753172100,"Bairro conhecido pela cultura japonesa, com lojas, restaurantes e eventos temáticos."
Casa das Rosas,40,-2357085697148180,-4664515320473380,"Espaço cultural na Avenida Paulista, com programação variada, exposições e atividades literárias."
Catavento Cultural e Educacional,180,-23544299586407200,-46627255645214900,"Espaço educacional interativo com exposições científicas, localizado no Palácio das Indústrias, no Parque Dom Pedro II."
Catedral da Sé,8000,-2355106380522900,-4663428906055680,"Importante igreja localizada no centro histórico de São Paulo, com arquitetura imponente."
Estação Ciência,60,-2352110690555120,-46698709360558200,Centro de divulgação científica com exposições e experimentos interativos.
Estação da Luz,40000,-23534882651344100,-46635277118228500,"Importante ponto arquitetônico e cultural, abriga o Museu da Língua Portuguesa e o Museu de Arte Sacra."
Instituto Butantan,Informação Indisponível,-23567803154276100,-4671877680265550,"Centro de pesquisa biomédica e produção de vacinas, com um serpentário e exposições sobre biologia e saúde pública."
Instituto Tomie Ohtake,720,-23561230356739600,-4669436150265570,"Centro cultural dedicado às artes visuais e ao design, com exposições temporárias."
Jardim Botânico de São Paulo,Informação Indisponível,-2363913796461540,-46627289147060000,"Área verde com coleções botânicas, trilhas e um lago, oferecendo uma pausa tranquila na cidade."
Memorial da América Latina,40000,-23527212339880600,-4666567536240660,"Projeto arquitetônico de Oscar Niemeyer, com exposições culturais e eventos temáticos."
Mercado Municipal de São Paulo,Informação Indisponível,-23541468538359000,-46630135348912700,"Mercado histórico com uma ampla variedade de produtos, especiarias e restaurantes."
Museu Afro Brasil,150,-2358363469157080,-4665920813356890,"Espaço dedicado à cultura afro-brasileira, localizado no Parque do Ibirapuera."
Museu da Energia,20,-23530354934467100,-46643428477748700,"Aborda a história da energia no Brasil, com exposições interativas e educativas."
Museu da Imigração,60,-23549543561118200,-4661289560265580,"Resgata a história da imigração no Brasil, com ênfase nos imigrantes que chegaram a São Paulo."
Museu da Língua Portuguesa,45,-23534809696726300,-466351533758998,"Museu dedicado à língua portuguesa, com exposições interativas e localizado na histórica Estação da Luz."
Museu de Anatomia Veterinária,Informação Indisponível,-23569238836528900,-4673969867589830,"Localizado na Faculdade de Medicina Veterinária e Zootecnia da USP, exibe coleções anatômicas."
Museu de Arte Contemporânea da USP (MAC USP),150,-23588793932015100,-4665096401822640,"Espaço cultural na Cidade Universitária, com uma coleção significativa de arte contemporânea brasileira."
Museu de Arte de São Paulo (MASP),344,-2356127629717810,-4665586044706300,"Renomado museu de arte localizado na Avenida Paulista, conhecido por sua arquitetura moderna e coleção impressionante."
Museu de Ciências da Terra,Informação Indisponível,-22953661654753300,-4317033144893580,"Localizado no Instituto de Geociências da USP, aborda temas relacionados à geologia e paleontologia."
Museu de Microbiologia,Informação Indisponível,-23567429898237100,-4671906740473400,"Espaço educacional na USP, que explora o mundo microscópico e a importância dos microrganismos."
Museu de Zoologia da USP,Informação Indisponível,-23588028425208600,-4661029566610190,"Acervo científico com espécies animais, exposições educativas e atividades interativas."
Museu do Futebol,200,-2354774116179330,-4666513640265590,"Instalado no Estádio do Pacaembu, o museu conta a história do futebol brasileiro de forma interativa e envolvente."
Museu do Futebol Feminino,200,-2354750510563840,-4666514713357040,Dedicado à história e às conquistas do futebol feminino no Brasil e no mundo.
Museu do Ipiranga,Informação Indisponível,-23585334771452500,-4660971182549650,"Importante museu histórico situado no Parque da Independência, retratando a história do Brasil."
Museu do Transporte Público Gaetano Ferolla,70,-2352458766168930,-46625026691242300,Exibe a evolução dos transportes públicos na cidade de São Paulo ao longo dos anos.
Parque Burle Marx,Informação Indisponível,-23633351329673400,-4672218290265440,"Jardim paisagístico projetado pelo renomado paisagista Roberto Burle Marx, com trilhas e lagos."
Parque da Água Branca,Informação Indisponível,-2353055680172180,-4667005803357100,"Espaço verde com zoológico, feira orgânica e atividades culturais, localizado na zona oeste."
Parque Estadual da Cantareira,Informação Indisponível,-23454200707087500,-46635965933573900,"Maior floresta urbana do mundo, oferece trilhas, cachoeiras e uma rica biodiversidade."
Parque Ibirapuera,16000,-23584245347459300,-46655792826481800,"Maior parque urbano de São Paulo, oferece áreas verdes, lagos, museus e espaços culturais."
Parque Zoológico de São Paulo,6500,-23650636614012300,-4662042804705960,"Um dos maiores zoológicos do Brasil, abriga uma variedade de espécies animais."
Pico do Jaraguá,Informação Indisponível,-23457544891788500,-46765235159015100,"Ponto mais alto da cidade de São Paulo, oferece trilhas e uma vista panorâmica da região."
Pinacoteca do Estado de São Paulo,1800,-23534479215791400,-4663393349678840,"Museu de artes visuais com uma vasta coleção de obras brasileiras, localizado no Parque da Luz."
Planetário do Ibirapuera,300,-2358421538656900,-46660945891239900,"Oferece projeções astronômicas e exposições sobre o universo, localizado no Parque Ibirapuera."
Rua 25 de Março,Informação Indisponível,-2354343689985930,-4663251990473500,"Famosa rua de comércio popular, conhecida por suas lojas e variedade de produtos."
Templo de Salomão,10000,-23537290949634400,-466060603322735,"Templo da Igreja Universal do Reino de Deus, conhecido por sua arquitetura grandiosa."
Theatro Municipal de São Paulo,1523,-23545018395283300,-4663850771637930,"Importante teatro lírico e palco de apresentações artísticas variadas, situado no centro da cidade."
